Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
149,"A Decan, T Mens, E Constantinou","On the impact of security vulnerabilities in the npm package dependency network",2018,"… on mining software repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3196398.3196401","https://scholar.google.com/scholar?cites=14486659759966182091&as_sdt=2005&sciodt=2007&hl=en",11,"2022-09-05 09:31:27","","10.1145/3196398.3196401","","",,,,,149,37.25,50,3,4,"… A replication package of our analysis is available on https://doi.org/10.5281/zenodo.1193577 Our study focuses on the following research questions: • RQ0 How many packages are …","https://dl.acm.org/doi/pdf/10.1145/3196398.3196401","https://scholar.google.com/scholar?q=related:y9q6Tkz0CskJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
9,"Z Codabux, M Vidoni, FH Fard","Technical debt in the peer-review documentation of r packages: A rOpenSci case study",2021,"… Mining Software Repositories …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463083/","https://scholar.google.com/scholar?cites=1995756542362880858&as_sdt=2005&sciodt=2007&hl=en",12,"2022-09-05 09:31:27","","","","",,,,,9,9.00,3,3,1,"… In addition, we provide access to our scripts and datasets in the replication package (see Section III-D). We conclude with some implications for researchers and practitioners in the R …","https://arxiv.org/pdf/2103.09340","https://scholar.google.com/scholar?q=related:WouzVQBashsJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
7,"O El Zarif, DA Da Costa, S Hassan, Y Zou","On the relationship between user churn and software issues",2020,"… Mining Software Repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3379597.3387456","https://scholar.google.com/scholar?cites=9996735577481774382&as_sdt=2005&sciodt=2007&hl=en",13,"2022-09-05 09:31:27","","10.1145/3379597.3387456","","",,,,,7,3.50,2,4,2,"… We also show some of the examples for each topic in the table (all the examples and analyses are available in our replication package, which is hosted on https://doi. org/10.5281/…","https://seal-queensu.github.io/publications/pdf/MSR-ElZarif-2020.pdf","https://scholar.google.com/scholar?q=related:LoVP8QqKu4oJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
2,"A Zerouali, C Velázquez-Rodríguez…","Identifying versions of libraries used in stack overflow code snippets",2021,"… Software Repositories …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463142/","https://scholar.google.com/scholar?cites=10937110821417896779&as_sdt=2005&sciodt=2007&hl=en",14,"2022-09-05 09:31:27","","","","",,,,,2,2.00,1,3,1,"Stack Overflow is a popular question and answer platform where developers share technical issues in the hope of receiving answers with potential solutions. The latter may include …","https://scholar.google.comftp://prog.vub.ac.be/tech_report/2021/vub-tr-soft-21-02.pdf","https://scholar.google.com/scholar?q=related:S8uxQ1hsyJcJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
1,"A Schuler, G Kotsis","Mining api interactions to analyze software revisions for the evolution of energy consumption",2021,"… on Mining Software Repositories (MSR)","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463126/","https://scholar.google.com/scholar?cites=16624448546316539095&as_sdt=2005&sciodt=2007&hl=en",15,"2022-09-05 09:31:27","","","","",,,,,1,1.00,1,2,1,"… For a detailed overview on the covered APIs, refer to our replication package [22]. We further apply statistical analysis to the obtained data to evaluate if a significant change in the API …","https://arxiv.org/pdf/2103.11377","https://scholar.google.com/scholar?q=related:19T0bd_nteYJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
3,"RH Pfeiffer","Identifying critical projects via pagerank and truck factor",2021,"… Conference on Mining Software Repositories …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463111/","https://scholar.google.com/scholar?cites=7687769864286134332&as_sdt=2005&sciodt=2007&hl=en",16,"2022-09-05 09:31:27","","","","",,,,,3,3.00,3,1,1,"… Note, a replication package including the experiment setup and more results than can be presented in this short paper is available online8. …","https://www.researchgate.net/profile/Helge-Pfeiffer-2/publication/351992825_Identifying_Critical_Projects_via_PageRank_and_Truck_Factor/links/60b4a0bb45851557baaf26b3/Identifying-Critical-Projects-via-PageRank-and-Truck-Factor.pdf","https://scholar.google.com/scholar?q=related:PGC6w_VxsGoJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
30,"A Bandeira, CA Medeiros, M Paixao…","We need to talk about microservices: an analysis from the discussions on stackoverflow",2019,"… Software Repositories …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8816756/","https://scholar.google.com/scholar?cites=4830539873225042921&as_sdt=2005&sciodt=2007&hl=en",17,"2022-09-05 09:31:27","","","","",,,,,30,10.00,8,4,3,"… Our supporting website [17] presents a complete replication package for our study, including the raw data and outcomes for all steps of our experimental methodology and analyses. …","https://alanpbandeira.github.io/stackoverservices/files/stackoverservices.pdf","https://scholar.google.com/scholar?q=related:6Wvw4GuGCUMJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
34,"M Paixão, A Uchôa, AC Bibiano, D Oliveira…","Behind the intents: An in-depth empirical study on software refactoring in modern code review",2020,"… Software Repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3379597.3387475","https://scholar.google.com/scholar?cites=4894384729517448382&as_sdt=2005&sciodt=2007&hl=en",18,"2022-09-05 09:31:27","","10.1145/3379597.3387475","","",,,,,34,17.00,7,5,2,"… code reviews that employed refactoring operations are available in our replication package [39]. … Additional details of this validation are available in our replication package [39]. …","https://discovery.ucl.ac.uk/id/eprint/10094795/1/msr20intent.pdf","https://scholar.google.com/scholar?q=related:vtz73PpY7EMJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
733,"E Kalliamvakou, G Gousios, K Blincoe…","The promises and perils of mining github",2014,"… software repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2597073.2597074","https://scholar.google.com/scholar?cites=3738735455931115142&as_sdt=2005&sciodt=2007&hl=en",19,"2022-09-05 09:31:27","","10.1145/2597073.2597074","","",,,,,733,91.63,183,4,8,"With over 10 million git repositories, GitHub is becoming one of the most important source of software artifacts on the Internet. Researchers are starting to mine the information stored in …","https://research.cs.queensu.ca/home/ahmed/home/teaching/CISC880/F14/papers/MiningGitHub_MSR2014.pdf","https://scholar.google.com/scholar?q=related:hqbupxao4jMJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
4,"F Corò, R Verdecchia, E Cruciani, B Miranda…","JTeC: A large collection of java test classes for test code analysis and processing",2020,"… Software Repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3379597.3387484","https://scholar.google.com/scholar?cites=1121988709041541938&as_sdt=2005&sciodt=2007&hl=en",20,"2022-09-05 09:31:27","","10.1145/3379597.3387484","","",,,,,4,2.00,1,5,2,"… For lower-level implementation details, we refer the reader to our replication package, containing the entirety of the scripts utilized to generate the dataset2 for the sake of the verification …","https://hal.archives-ouvertes.fr/hal-03007190/file/main.pdf","https://scholar.google.com/scholar?q=related:MpNrTMkakg8J:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
6,"M Sridharan, M Mantyla, L Rantala…","Data balancing improves self-admitted technical debt detection",2021,"… Software Repositories …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463080/","https://scholar.google.com/scholar?cites=6732265439610601202&as_sdt=2005&sciodt=2007&hl=en",21,"2022-09-05 09:31:27","","","","",,,,,6,6.00,2,4,1,"… Replication package of our experiments for verification and further extension. …","https://arxiv.org/pdf/2103.13165","https://scholar.google.com/scholar?q=related:8v6gjb_PbV0J:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
20,"L Sousa, D Cedrim, A Garcia, W Oizumi…","Characterizing and identifying composite refactorings: Concepts, heuristics and patterns",2020,"… Software Repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3379597.3387477","https://scholar.google.com/scholar?cites=11285641866325219742&as_sdt=2005&sciodt=2007&hl=en",22,"2022-09-05 09:31:27","","10.1145/3379597.3387477","","",,,,,20,10.00,4,5,2,"… We also provide a replication package [43], which includes the scripts that we used to implement the proposed heuristics and the catalog of composite-smell patterns for 11 smell types. …","https://www.researchgate.net/profile/Ana-Bibiano/publication/340492594_Characterizing_and_Identifying_Composite_Refactorings_Concepts_Heuristics_and_Patterns/links/5e8ce67292851c2f5288605a/Characterizing-and-Identifying-Composite-Refactorings-Concepts-Heuristics-and-Patterns.pdf","https://scholar.google.com/scholar?q=related:nlmXyHunnpwJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
